DATE,ONS_raw,VIIR_raw,ONS_diff,MLP_diff,VIIR_diff,MLP_VIIR_diff,MLP_VIIR_solo_diff
9/1/18,96.5,2887877.649,0.00207469 ,0.00102840 ,-0.14847337 ,0.00066455 ,-0.00000157 
10/1/18,96.4,3141378.857,-0.00103681 ,0.00045241 ,0.08413998 ,0.00076235 ,0.00061041 
11/1/18,96.5,3164503.103,0.00103681 ,0.00045241 ,0.00733422 ,0.00033702 ,0.00059288 
12/1/18,96.2,2979885.672,-0.00311365 ,0.00045241 ,-0.06011111 ,0.00025787 ,0.00015394 
1/1/19,96.7,2983008.891,0.00518404 ,0.00242368 ,0.00104755 ,0.00344047 ,0.00750697 
2/1/19,97.3,3537206.316,0.00618559 ,0.00242368 ,0.17040475 ,0.00201269 ,-0.00013411 
3/1/19,97.3,3038459.782,0.00000000 ,0.00242368 ,-0.15198650 ,0.00181786 ,-0.00010184 
4/1/19,97,3412690.977,-0.00308801 ,0.00121090 ,0.11615039 ,-0.00003720 ,0.00072229 
5/1/19,97.4,3507008.295,0.00411523 ,0.00140721 ,0.02726221 ,0.00322616 ,0.00117260 
6/1/19,97.9,3526372.503,0.00512034 ,0.00049444 ,0.00550639 ,-0.00007640 ,0.00121766 
7/1/19,98.2,3916134.884,0.00305967 ,-0.00301900 ,0.10483545 ,0.00034617 ,0.00626227 
8/1/19,98,3220740.717,-0.00203874 ,0.01293925 ,-0.19549380 ,0.00025160 ,-0.00084277 
9/1/19,98.5,3021468.255,0.00508907 ,-0.00285444 ,-0.06386848 ,0.00646803 ,0.00164631 
10/1/19,98.3,3041670.164,-0.00203252 ,0.00000107 ,0.00666387 ,0.00000013 ,0.00000160 
11/1/19,98.1,2774458.428,-0.00203666 ,0.00000107 ,-0.09195119 ,-0.00000003 ,0.00000007 
12/1/19,98.5,2833097.337,0.00406918 ,0.00000107 ,0.02091501 ,0.00000311 ,0.00000156 
1/1/20,98.6,2469931.392,0.00101471 ,0.01674757 ,-0.13718020 ,-0.00272571 ,-0.00011783 
2/1/20,98.1,3063801.806,-0.00508390 ,0.01391956 ,0.21546619 ,-0.01244859 ,0.00709377 
3/1/20,91,3039387.801,-0.07512786 ,-0.05760302 ,-0.00800045 ,-0.01176158 ,-0.03391184 
4/1/20,73.2,2994545.337,-0.21766409 ,0.06301501 ,-0.01486370 ,-5.25515604 ,-4.62411165 
5/1/20,74.7,4404854.812,0.02028467 ,-0.07029001 ,0.38591489 ,-0.39459759 ,3.83455324 
6/1/20,81.7,3634071.852,0.08957391 ,-0.22002415 ,-0.19235356 ,5.42245436 ,0.56225938 
7/1/20,87.1,4235499.462,0.06400288 ,-0.15003443 ,0.15314752 ,-0.00241439 ,0.06552129 
8/1/20,90,2930416.304,0.03275279 ,0.15261194 ,-0.36835676 ,0.00967009 ,-0.34985572 
9/1/20,91.3,3138875.279,0.01434112 ,0.15261194 ,0.06872005 ,0.14793378 ,0.43952388 
10/1/20,91.7,2798090.494,0.00437159 ,0.00393933 ,-0.11492733 ,0.00788423 ,0.00034294 
11/1/20,89.7,3100586.937,-0.02205161 ,0.00393933 ,0.10265421 ,0.00727203 ,0.00609164 
12/1/20,91.1,3078279.398,0.01548704 ,0.00569630 ,-0.00722062 ,-0.00158130 ,0.00714037 
1/1/21,88.1,3428679.446,-0.03348527 ,-0.02661650 ,0.10780438 ,-0.01126722 ,0.00493456 
2/1/21,89.4,4770228.968,0.01464815 ,0.00341075 ,0.33021912 ,0.00117815 ,-0.00355950 
3/1/21,92,2799074.817,0.02866789 ,0.01275930 ,-0.53310537 ,-0.00035739 ,-0.01182152 
4/1/21,95.1,3228602.672,0.03314039 ,0.02334302 ,0.14276049 ,0.02494708 ,0.02205264 
5/1/21,96.5,3673660.942,0.01461404 ,0.02334302 ,0.12913926 ,0.03290574 ,0.03131296 
6/1/21,97.3,4259250.865,0.00825598 ,0.02334302 ,0.14790459 ,0.01217624 ,0.01666344 
7/1/21,97,4252466.507,-0.00308801 ,0.00456525 ,-0.00159412 ,0.00117773 ,0.01439450 
8/1/21,97.9,2978239.254,0.00923557 ,0.00857313 ,-0.35616690 ,-0.00081290 ,-0.01245763 
9/1/21,98.5,3036852.126,0.00611000 ,0.00341819 ,0.01948922 ,0.01619175 ,0.01461970 
10/1/21,98.8,2896120.335,0.00304106 ,0.00491010 ,-0.04744947 ,0.00090775 ,0.00571243 
11/1/21,99.3,3195460.486,0.00504797 ,0.00491010 ,0.09835918 ,0.00084765 ,0.01009551 
12/1/21,99.2,2591421.066,-0.00100756 ,0.00491010 ,-0.20952481 ,0.01297491 ,-0.00107763 
1/1/22,99.4,3287455.073,0.00201410 ,0.00107011 ,0.23790733 ,0.00138595 ,-0.00147215 
2/1/22,100,3147539.185,0.00601807 ,0.00309968 ,-0.04349279 ,0.00024617 ,0.00321657 
3/1/22,99.9,3453612.759,-0.00100050 ,0.00309968 ,0.09279992 ,0.00563736 ,0.00552506 
4/1/22,99.9,3211980.35,0.00000000 ,0.00117119 ,-0.07253318 ,0.00051074 ,0.00037413 
5/1/22,100.5,3866188.524,0.00598804 ,0.00117119 ,0.18538147 ,0.00259176 ,-0.00030089 
6/1/22,99.5,4223437.997,-0.01000008 ,0.00100416 ,0.08838034 ,0.00024404 ,0.00327330 
7/1/22,100.1,2261409.48,0.00601204 ,0.00037945 ,-0.62466120 ,0.00005280 ,0.00130925 
8/1/22,100.2,2844201.583,0.00099850 ,0.00037945 ,0.22929411 ,0.00107175 ,0.00011670 
9/1/22,99.6,3208169.758,-0.00600602 ,0.00037945 ,0.12041822 ,0.00001380 ,-0.00028760 
10/1/22,100.5,3006640.03,0.00899556 ,0.00131280 ,-0.06487742 ,0.00011412 ,0.00038090 
11/1/22,100.5,2907414.568,0.00000000 ,0.00042331 ,-0.03355896 ,-0.00024390 ,0.00133444 
12/1/22,100.1,2840408.424,-0.00398804 ,0.00152924 ,-0.02331637 ,0.00339514 ,0.00155001 
1/1/23,100.3,3375758.836,0.00199601 ,0.00020182 ,0.17267229 ,0.00018653 ,-0.00001654 
2/1/23,100.7,3003633.255,0.00398010 ,0.00020182 ,-0.11679750 ,0.00019161 ,0.00001919 
3/1/23,100.4,3212578.408,-0.00298359 ,0.00020182 ,0.06725122 ,0.00022731 ,0.00060280 
4/1/23,100.5,2720454.59,0.00099552 ,0.00013973 ,-0.16627486 ,0.00003150 ,0.00002984 
5/1/23,100.1,4200251.82,-0.00398804 ,0.00013973 ,0.43434549 ,0.00038099 ,0.00048551 
6/1/23,100.8,3928798.889,0.00696867 ,0.00013973 ,-0.06681073 ,0.00000674 ,-0.00009616 
7/1/23,100.4,3559416.355,-0.00397615 ,-0.00019280 ,-0.09873717 ,-0.00020520 ,-0.00003694 
8/1/23,100.4,3138502.381,0.00000000 ,-0.00019280 ,-0.12585085 ,-0.00002600 ,-0.00000925 
9/1/23,100.4,3283433.223,0.00000000 ,-0.00019280 ,0.04514385 ,-0.00034721 ,-0.00053221 
10/1/23,100,3208601.229,-0.00399202 ,-0.00068261 ,-0.02305450 ,-0.00201857 ,-0.00068846 
11/1/23,100.3,3113868.691,0.00299551 ,-0.00068261 ,-0.02996918 ,-0.00004000 ,-0.00062245 
12/1/23,100.2,3065660.646,-0.00099751 ,-0.00071158 ,-0.01560281 ,-0.00001830 ,-0.00076589 
1/1/24,100.7,3286023.58,0.00497761 ,0.00300636 ,0.06941510 ,0.00273758 ,0.00646039 
2/1/24,101,2845925.248,0.00297472 ,0.00300636 ,-0.14378996 ,0.00136046 ,0.00004525 
3/1/24,101.5,3242017.866,0.00493828 ,0.00300636 ,0.13030770 ,0.00492104 ,0.00251344 
