DATE,MGDP_logdiff_pred
2014-01-01,
2014-02-01,-0.0010682540014386177
2014-03-01,-0.00046579446643590927
2014-04-01,-0.00012743589468300343
2014-05-01,-0.00010789048974402249
2014-06-01,-0.00010907937394222245
2014-07-01,-0.00033097382402047515
2014-08-01,-0.00029994791839271784
2014-09-01,-0.0002491749182809144
2014-10-01,0.013989495113492012
2014-11-01,-0.014944513328373432
2014-12-01,-0.00038583407877013087
2015-01-01,-0.001449405332095921
2015-02-01,0.0018753354670479894
2015-03-01,-0.002089067129418254
2015-04-01,-0.000569161435123533
2015-05-01,-0.0005704544018954039
2015-06-01,-0.0005799151258543134
2015-07-01,-0.0003125427174381912
2015-08-01,-0.0006411267095245421
2015-09-01,-0.0006058485596440732
2015-10-01,-0.00045591354137286544
2015-11-01,-0.0004453975707292557
2015-12-01,-0.00043587273103185
2016-01-01,0.003692651866003871
2016-02-01,-0.003594930749386549
2016-03-01,-0.0012293658219277859
2016-04-01,-0.0002946302411146462
2016-05-01,-0.00029080244712531567
2016-06-01,-0.00033598917070776224
2016-07-01,-5.382307062973268e-05
2016-08-01,-0.00030004937434569
2016-09-01,-0.0002644311171025038
2016-10-01,-7.652025669813156e-05
2016-11-01,-6.18389603914693e-05
2016-12-01,-8.041212277021259e-05
2017-01-01,5.947098179603927e-05
2017-02-01,6.716948701068759e-05
2017-03-01,6.577099702553824e-05
2017-04-01,0.00012818568211514503
2017-05-01,0.00012740133388433605
2017-06-01,2.6966905352310278e-05
2017-07-01,-1.2810422049369663e-05
2017-08-01,-1.1767025171138812e-05
2017-09-01,-1.2993575182917994e-05
2017-10-01,-0.0001784858322935179
2017-11-01,-0.00016648521705064923
2017-12-01,-7.868792454246432e-05
2018-01-01,-0.0002477379748597741
2018-02-01,-0.000247602176386863
2018-03-01,-0.0002233714476460591
2018-04-01,-0.00036929582711309195
2018-05-01,-0.00037652518949471414
2018-06-01,-0.0003614408487919718
2018-07-01,-0.0005348656559363008
2018-08-01,-0.0005453407648019493
2018-09-01,-0.0005454719648696482
2018-10-01,-0.0009444480529054999
2018-11-01,-0.0010546122211962938
2018-12-01,-2.6630516003933735e-05
2019-01-01,-0.0007229786715470254
2019-02-01,-0.000655743817333132
2019-03-01,-0.000667787913698703
2019-04-01,-0.00048233670531772077
2019-05-01,-0.0005231948453001678
2019-06-01,-0.00057406653650105
2019-07-01,-2.327269612578675e-05
2019-08-01,-4.5617347495863214e-05
2019-09-01,-4.1597202653065324e-05
2019-10-01,0.0009704088442958891
2019-11-01,0.0009951803367584944
2019-12-01,0.0010943914530798793
2020-01-01,-0.006155942101031542
2020-02-01,-0.017545945942401886
2020-03-01,-0.01784008927643299
2020-04-01,0.018717803061008453
2020-05-01,0.01877221278846264
2020-06-01,0.020465491339564323
2020-07-01,0.0024190323892980814
2020-08-01,0.0027953553944826126
2020-09-01,0.0026246747002005577
2020-10-01,0.001321757910773158
2020-11-01,0.001479322905652225
2020-12-01,0.0014720039907842875
2021-01-01,0.00034594995668157935
2021-02-01,0.0003608802508097142
2021-03-01,0.00011771188292186707
2021-04-01,-0.00060232263058424
2021-05-01,-0.0005937105743214488
2021-06-01,-0.0005940677947364748
2021-07-01,-0.001188160153105855
2021-08-01,-0.0013923654332756996
2021-09-01,-0.0009737784275785089
2021-10-01,-0.0013093315064907074
2021-11-01,-0.0013193428749218583
2021-12-01,-0.0013581481762230396
2022-01-01,-0.0011329763801768422
2022-02-01,-0.0010799843585118651
2022-03-01,-0.0010868258541449904
2022-04-01,-0.0008056543883867562
2022-05-01,-0.0007704303716309369
2022-06-01,-0.0007802329491823912
2022-07-01,-0.003888313192874193
2022-08-01,0.0008265437791123986
2022-09-01,0.0009336630464531481
2022-10-01,-0.0009050986845977604
2022-11-01,-0.000904750544577837
2022-12-01,-0.0008181087323464453
2023-01-01,-0.0011586262844502926
2023-02-01,-0.00013614552153740078
2023-03-01,-0.0012503389734774828
2023-04-01,-0.0006555233849212527
2023-05-01,-0.0005873344489373267
2023-06-01,-0.0006075450801290572
2023-07-01,-0.00015482249727938324
2023-08-01,-0.00045277891331352293
2023-09-01,-0.00043928431114181876
