DATE,MGDP_logdiff_pred,MGDP_level_pred
2014-01-01,,
2014-02-01,0.0015622153878211975,554183.0
2014-03-01,5.384326505009085e-05,554212.8398254849
2014-04-01,0.002794673666357994,555763.8501288532
2014-05-01,0.008433382958173752,560470.6386902216
2014-06-01,-0.0019815873820334673,559361.1168149291
2014-07-01,-0.001575168571434915,558480.7223305336
2014-08-01,-0.02193518728017807,546363.7232555798
2014-09-01,0.031280480325222015,563724.3518053257
2014-10-01,-0.03335973247885704,545228.8755334739
2014-11-01,0.007219314109534025,549179.296555163
2014-12-01,0.03307928889989853,567649.5646199737
2015-01-01,0.0006075763376429677,567994.559858369
2015-02-01,-0.00025881663896143436,567847.5724376537
2015-03-01,0.0023448411375284195,569180.647098702
2015-04-01,0.0035826931707561016,571223.5039955929
2015-05-01,-4.1161238186759874e-05,571199.9922127775
2015-06-01,0.0026293217670172453,572703.8369651119
2015-07-01,0.000290468567982316,572870.2135909335
2015-08-01,-0.00019304217130411416,572759.636154424
2015-09-01,0.003672483377158642,574866.9535729314
2015-10-01,0.00034359117853455245,575064.5067238265
2015-11-01,0.0030410101171582937,576815.9454284648
2015-12-01,0.0022221249528229237,578099.1277016493
2016-01-01,0.001768565271049738,579122.4383712546
2016-02-01,9.655789472162724e-05,579178.3599144795
2016-03-01,0.0016611090395599604,580141.237824847
2016-04-01,0.0027468022890388966,581736.9616705251
2016-05-01,0.0003451242810115218,581937.7678707141
2016-06-01,0.0025342502631247044,583414.4141173281
2016-07-01,0.0046113901771605015,586110.9782920597
2016-08-01,-0.0004411318514030427,585852.4830905034
2016-09-01,5.984995004837401e-05,585887.5473816396
2016-10-01,0.002895596669986844,587586.4999664788
2016-11-01,0.0025833440013229847,589106.4003939759
2016-12-01,0.0006810402846895158,589507.7422340808
2017-01-01,0.0014071299228817225,590337.8401087609
2017-02-01,0.007519128732383251,594793.3962822852
2017-03-01,-0.000569078023545444,594455.0087255043
2017-04-01,0.009179617278277874,599937.0009951154
2017-05-01,-0.0017731821862980723,598874.1459883156
2017-06-01,-0.0011125971795991063,598208.2108300389
2017-07-01,0.0028800424188375473,599933.5591981743
2017-08-01,-0.00041134055936709046,599686.832940088
2017-09-01,0.0038389323744922876,601993.4147105839
2017-10-01,0.002626789500936866,603576.8033959146
2017-11-01,0.002052120864391327,604816.687708543
2017-12-01,0.00266166846267879,606428.6535195383
2018-01-01,0.0002478229580447078,606578.9590861124
2018-02-01,0.00015502635505981743,606673.00210058
2018-03-01,0.00023843998496886343,606817.6744492328
2018-04-01,0.0013105698162689805,607613.4727380483
2018-05-01,9.743520786287263e-05,607672.678567384
2018-06-01,0.0002222153270849958,607807.7277548565
2018-07-01,0.0033856225199997425,609869.0227001113
2018-08-01,-0.0002988530322909355,609686.7887253213
2018-09-01,-1.5742798495921306e-06,609685.8289084508
2018-10-01,0.0006104118074290454,610058.1019456082
2018-11-01,0.0005928797763772309,610419.900297532
2018-12-01,0.00015393666399177164,610513.8735333957
2019-01-01,0.007506968453526497,615114.2276749288
2019-02-01,-0.00013410538667812943,615031.7430745135
2019-03-01,-0.00010183651465922594,614969.1135744331
2019-04-01,0.0007222918793559074,615413.4612262546
2019-05-01,0.0011726015945896506,616135.519292705
2019-06-01,0.0012176550226286054,616886.2167549054
2019-07-01,0.006262269802391529,620761.445882525
2019-08-01,-0.0008427741122432053,620238.5045976974
2019-09-01,0.001646313234232366,621260.4524485134
2019-10-01,1.597101686456881e-06,621261.4446654221
2019-11-01,6.528640028591326e-08,621261.4852253469
2019-12-01,1.5570417417620774e-06,621262.4525561649
2020-01-01,-0.00011782523506553844,621189.2564739125
2020-02-01,0.0070937746204435825,625611.4997098675
2020-03-01,-0.03391183540225029,604751.5639211686
2020-04-01,-4.624111652374268,5934.044868960524
2020-05-01,3.8345532417297363,274584.576582467
2020-06-01,0.5622593760490417,481794.99449634645
2020-07-01,0.06552129238843918,514419.9696109503
2020-08-01,-0.3498557209968567,362557.9314218269
2020-09-01,0.4395238757133484,562678.3486317312
2020-10-01,0.00034294225042685866,562871.3479027881
2020-11-01,0.006091643590480089,566310.624329187
2020-12-01,0.007140371482819319,570368.7636306629
2021-01-01,0.004934562835842371,573190.2397848645
2021-02-01,-0.003559498116374016,571153.5970693404
2021-03-01,-0.011821522377431393,564441.4441411877
2021-04-01,0.022052638232707977,577027.1308598457
2021-05-01,0.0313129648566246,595381.4251386467
2021-06-01,0.016663439571857452,605385.6484353339
2021-07-01,0.014394501224160194,614162.8933698452
2021-08-01,-0.012457625940442085,606559.3412162507
2021-09-01,0.014619696885347366,615492.1936199396
2021-10-01,0.005712429061532021,619018.2105864508
2021-11-01,0.010095509700477123,625299.1663151397
2021-12-01,-0.0010776318376883864,624625.6869720051
2022-01-01,-0.001472145551815629,623706.8235616683
2022-02-01,0.003216566052287817,625716.2477472189
2022-03-01,0.005525055341422558,629182.9326382542
2022-04-01,0.00037413410609588027,629418.3754731786
2022-05-01,-0.0003008890780620277,629229.018847566
2022-06-01,0.0032732959371060133,631292.0462460503
2022-07-01,0.0013092514127492905,632119.1075469021
2022-08-01,0.00011669741797959432,632192.8785189657
2022-09-01,-0.0002876015205401927,632011.085029124
2022-10-01,0.0003809003974311054,632251.8641561139
2022-11-01,0.0013344387989491224,633096.1287587893
2022-12-01,0.0015500125009566545,634078.1965847549
2023-01-01,-1.65389046742348e-05,634067.7097126264
2023-02-01,1.9193765183445066e-05,634079.8799761533
2023-03-01,0.0006027980125509202,634462.2172921111
2023-04-01,2.9838613045285456e-05,634481.149047152
