DATE,MGDP_logdiff_pred,MGDP_level_pred
2014-01-01,,
2014-02-01,0.0009366043959744275,554183.0
2014-03-01,0.0002285255613969639,554309.6594531017
2014-04-01,0.0016703223809599876,555236.3089695376
2014-05-01,0.0026409667916595936,556704.6076336434
2014-06-01,0.004935179837048054,559458.8357036851
2014-07-01,0.005931089166551828,562786.8956973942
2014-08-01,0.00012443354353308678,562856.9296222741
2014-09-01,0.0017146016471087933,563822.8328739093
2014-10-01,0.002747628139331937,565374.1385847634
2014-11-01,0.0002124383463524282,565494.2584904201
2014-12-01,0.003978801425546408,567748.7299251347
2015-01-01,-0.0011871475726366043,567075.1283099077
2015-02-01,0.0010348896030336618,567662.292236852
2015-03-01,0.0028458586893975735,569280.0798094084
2015-04-01,0.0018695935141295195,570345.3976997449
2015-05-01,0.003324230434373021,572244.5120268575
2015-06-01,0.000977029325440526,572803.8849137898
2015-07-01,0.00011801224172813818,572871.4867731641
2015-08-01,0.001301025040447712,573617.2919728346
2015-09-01,0.0023508721496909857,574967.3792085733
2015-10-01,0.0008991911890916526,575484.6173230995
2015-11-01,0.0031441343016922474,577296.8657317867
2015-12-01,0.0015634008450433612,578200.1180282354
2016-01-01,0.002552121877670288,579677.6398049874
2016-02-01,0.0007885301019996405,580134.9133367083
2016-03-01,0.00018557994917500764,580242.5847349572
2016-04-01,0.0021459877025336027,581489.1152274553
2016-05-01,0.0031240987591445446,583308.585273015
2016-06-01,0.0003560901095625013,583516.3326772564
2016-07-01,-0.000979397795163095,582945.1178365286
2016-08-01,-1.1360733878973406e-05,582938.495189798
2016-09-01,0.00522086676210165,585989.8979562061
2016-10-01,0.001237637479789555,586715.589995897
2016-11-01,0.0022949054837226868,588063.592998891
2016-12-01,0.0026274381671100855,589610.7253350556
2017-01-01,0.0003282648103777319,589804.3055590538
2017-02-01,0.003713784273713827,591998.7839009634
2017-03-01,0.004315131809562445,594558.8562369276
2017-04-01,0.00019332960073370486,594673.813175148
2017-05-01,0.005463568959385157,597931.7464290058
2017-06-01,0.0006369393668137491,598312.7140107197
2017-07-01,0.0013276636600494385,599107.5996120593
2017-08-01,0.001536694006063044,600028.9524067193
2017-09-01,0.003443276509642601,602098.5791073306
2017-10-01,0.0016308726044371724,603081.3263351114
2017-11-01,0.004232221748679876,605639.1089744548
2017-12-01,0.0014774841256439686,606534.5925122894
2018-01-01,0.00013395020505413413,606615.843386993
2018-02-01,0.00012997997691854835,606694.6964248619
2018-03-01,0.00037735915975645185,606923.6814278103
2018-04-01,0.00022769460338167846,607061.8904088584
2018-05-01,0.0007883690414018929,607540.6679113543
2018-06-01,0.0006141567719168961,607913.907728916
2018-07-01,0.0017544481670483947,608981.3973238169
2018-08-01,0.0006661987863481045,609387.2351609499
2018-09-01,0.0006645481917075813,609792.3369360433
2018-10-01,0.0007623450364917517,610257.3863389265
2018-11-01,0.00033701752545312047,610463.0884338184
2018-12-01,0.00025786570040509105,610620.5262237195
2019-01-01,0.003440471366047859,612724.9667175162
2019-02-01,0.0020126935560256243,613959.4361972985
2019-03-01,0.0018178611062467098,615076.544243174
2019-04-01,-3.7248755688779056e-05,615053.6338339424
2019-05-01,0.0032261584419757128,617041.0985211827
2019-06-01,-7.636101508978754e-05,616993.9824354864
2019-07-01,0.0003461742599029094,617207.606844223
2019-08-01,0.00025160389486700296,617362.9182197007
2019-09-01,0.006468030624091625,621368.982186864
2019-10-01,1.335464787644014e-07,621369.0651685091
2019-11-01,-2.527404951990775e-08,621369.0494639968
2019-12-01,3.111157411694876e-06,621370.9826439277
2020-01-01,-0.0027257134206593037,619679.6095636521
2020-02-01,-0.01244859304279089,612013.2867559601
2020-03-01,-0.011761580593883991,604857.2090459581
2020-04-01,-5.25515604019165,3157.676182787553
2020-05-01,-0.394597589969635,2128.119619151924
2020-06-01,5.422454357147217,481879.0452307112
2020-07-01,-0.002414393937215209,480717.00276406924
2020-08-01,0.009670091792941093,485388.1290170894
2020-09-01,0.14793378114700317,562776.5276867563
2020-10-01,0.00788422767072916,567231.1234070307
2020-11-01,0.007272028364241123,571371.0789182646
2020-12-01,-0.0015812987694516778,570468.2845162296
2021-01-01,-0.0112672233954072,564076.7658657958
2021-02-01,0.0011781540233641863,564741.7268132783
2021-03-01,-0.00035738825681619346,564539.9308138893
2021-04-01,0.02494707889854908,578800.6956224414
2021-05-01,0.032905738800764084,598163.3848183487
2021-06-01,0.012176238931715488,605491.287723922
2021-07-01,0.0011777252657338977,606204.8101959043
2021-08-01,-0.000812898448202759,605712.2274833894
2021-09-01,0.016191745176911354,615599.5963846997
2021-10-01,0.0009077453869394958,616158.6577828333
2021-11-01,0.0008476537768729031,616681.1684190269
2021-12-01,0.012974906712770462,624734.6828675516
2022-01-01,0.001385949202813208,625601.1336929632
2022-02-01,0.00024616526206955314,625755.1539164264
2022-03-01,0.005637361668050289,629292.7239469293
2022-04-01,0.0005107377073727548,629614.2095604485
2022-05-01,0.002591762226074934,631248.1363460269
2022-06-01,0.0002440413081785664,631402.2057658928
2022-07-01,5.2765550208278e-05,631435.5229296742
2022-08-01,0.0010717465775087476,632112.6245661601
2022-09-01,1.3835155186825432e-05,632121.3700029136
2022-10-01,0.00011411626474000514,632193.5094485845
2022-11-01,-0.0002439041418256238,632039.3336360187
2022-12-01,0.0033951394725590944,634188.8422017687
2023-01-01,0.00018653021834325045,634307.1486184932
2023-02-01,0.00019161078671459109,634428.7003551988
2023-03-01,0.00022731187345925719,634572.9299235786
2023-04-01,3.145775554003194e-05,634592.8924776674
