DATE,y_true,y_diff,MLP_diff,MLP_level,LSTM_diff,LSTM_level,,,
6/1/90,111.8522375,-0.016325541,0.000501976,1.14E+02,0.015516275,115.4573689,,,
7/1/90,112.6641936,0.007232964,0.006686613,1.13E+02,-0.001552387,111.6785995,,,
8/1/90,113.6108425,0.00836729,-0.002957721,1.12E+02,-0.000358514,112.6238019,,,
9/1/90,115.690307,0.018137907,-0.000843045,1.14E+02,0.004796748,114.1558051,,,
10/1/90,117.0675203,0.011834012,0.011670412,1.17E+02,0.01538384,117.4700681,,,
11/1/90,118.0589465,0.008433181,0.041728672,1.22E+02,0.003803114,117.5127414,,,
12/1/90,116.8659276,-0.010156686,-0.024498908,1.15E+02,0.009713219,119.2056789,,,
1/1/91,116.4911056,-0.003212437,-0.011916858,1.15E+02,-0.002296546,116.5975397,,,
2/1/91,117.2384948,0.006395354,0.072703838,1.25E+02,-0.002020147,116.2557764,,,
3/1/91,116.1746406,-0.009115695,-0.066737026,1.09E+02,-0.001633357,117.0470025,,,
4/1/91,118.5132292,0.019930012,0.001192274,1.16E+02,-0.001448954,116.006309,,,
5/1/91,114.5866865,-0.03369297,0.000835179,1.19E+02,0.004326195,119.0259406,,,
6/1/91,118.2978137,0.031873666,0.002231742,1.15E+02,0.001381952,114.7450398,,,
7/1/91,122.2020934,0.032470888,0.039752971,1.23E+02,-0.149285898,100.6376184,,,
8/1/91,121.7033756,-0.004089441,0.038642809,1.27E+02,-0.112223111,108.4881943,,,
9/1/91,122.616573,0.007475457,-0.036255836,1.17E+02,0.303648949,158.6584776,,,
10/1/91,122.6039559,-0.000102904,0.008232387,1.24E+02,0.004032904,123.1110738,,,
11/1/91,122.6069894,2.47421E-05,-0.007529302,1.22E+02,0.001449839,122.7817118,,,
12/1/91,123.0446332,0.00356313,0.004015458,1.23E+02,-0.0007642,122.5132931,,,
1/1/92,118.410803,-0.038387201,-0.009955637,1.22E+02,-0.044116795,117.6162983,,,
2/1/92,120.4318264,0.016923877,-0.015865266,1.17E+02,-0.000241359,118.3822235,,,
3/1/92,115.8180436,-0.039063467,-0.011794818,1.19E+02,0.006742432,121.2438299,,,
4/1/92,115.3635535,-0.003931893,0.01044514,1.17E+02,-0.023159206,113.1357896,,,
5/1/92,115.1853492,-0.001545913,0.010145694,1.17E+02,0.014124541,116.9930106,,,
6/1/92,116.7543545,0.01352963,-0.041553978,1.10E+02,-0.011928479,113.8113632,,,
7/1/92,115.1400012,-0.013923403,0.001495765,1.17E+02,0.002753875,117.0758813,,,
8/1/92,117.6797133,0.02181785,0.004299907,1.16E+02,-0.003234115,114.7676253,,,
9/1/92,119.1718912,0.012600275,0.007613317,1.19E+02,0.01388923,119.3141939,,,
10/1/92,115.1199321,-0.034592441,-0.005389468,1.19E+02,-0.011211654,117.8357771,,,
11/1/92,116.6946622,0.013586325,0.004250178,1.16E+02,0.000310989,115.1557332,,,
12/1/92,116.5269259,-0.001438429,-0.009284659,1.16E+02,0.000476715,116.7502923,,,
1/1/93,117.7812484,0.010706707,0.010749009,1.18E+02,-0.004136384,116.0449257,,,
2/1/93,117.6734085,-0.000916015,0.046179369,1.23E+02,0.011675302,119.15638,,,
3/1/93,117.6759488,2.15879E-05,-0.04327378,1.13E+02,0.006115681,118.3930614,,,
4/1/93,120.5798747,0.024377744,0.057406705,1.24E+02,0.001419271,117.8429628,,,
5/1/93,123.1604947,0.021175946,-0.048705373,1.15E+02,-0.045655083,115.0747905,,,
6/1/93,121.6282716,-0.012518901,0.025367508,1.26E+02,0.078304656,132.8045349,,,
7/1/93,122.2590175,0.005172449,-0.00521248,1.21E+02,0.004137414,122.1314981,,,
8/1/93,120.0157009,-0.018519313,-0.00119912,1.22E+02,-0.006087314,121.5147884,,,
9/1/93,119.7753268,-0.002004864,-0.00271277,1.20E+02,-0.00717447,119.1546519,,,
10/1/93,120.9691405,0.009917765,-0.000478039,1.20E+02,-0.000599046,119.7035758,,,
11/1/93,121.3925829,0.003494305,-0.001034909,1.21E+02,-0.00179592,120.7518896,,,
12/1/93,118.6924145,-0.022494386,-0.001241587,1.21E+02,-0.000359569,121.3489339,,,
1/1/94,116.9883716,-0.014460852,-0.00074909,1.19E+02,-0.041187946,113.8037177,,,
2/1/94,117.2856539,0.002537903,-0.026824046,1.14E+02,-0.002764551,116.6649514,,,
3/1/94,115.5259472,-0.015117289,-0.004093291,1.17E+02,0.012286069,118.7266335,,,
4/1/94,117.6658561,0.018353723,0.000113351,1.16E+02,0.000654807,115.6015944,,,
5/1/94,117.4694725,-0.001670388,0.001915911,1.18E+02,0.001110335,117.7965046,,,
6/1/94,115.4067821,-0.017715368,9.01E-05,1.17E+02,0.000354217,117.5110822,,,
7/1/94,115.2229052,-0.001594565,-0.001146455,1.15E+02,0.004674298,115.9462278,,,
8/1/94,115.7064868,0.00418814,-0.011240993,1.14E+02,-0.006055796,114.5251388,,,
9/1/94,115.1523606,-0.004800573,-0.00041837,1.16E+02,-0.011424319,114.384619,,,
10/1/94,116.7420528,0.013710698,0.01454883,1.17E+02,0.011028144,116.4222773,,,
11/1/94,119.5855427,0.02406513,0.005055616,1.17E+02,0.006659647,117.5195136,,,
12/1/94,117.8170204,-0.014899207,0.003425877,1.20E+02,0.005342532,120.2244323,,,
1/1/95,118.5096577,0.005861711,0.008272796,1.19E+02,0.005338167,118.4459474,,,
2/1/95,119.3290571,0.006890405,-0.002812048,1.18E+02,0.002202517,118.7706772,,,
3/1/95,122.3062622,0.024643383,0.011340568,1.21E+02,0.009260632,120.4341196,,,
4/1/95,121.8941066,-0.003375556,0.029170291,1.26E+02,0.003435038,122.7263888,,,
5/1/95,121.3356292,-0.004592188,-0.003444266,1.21E+02,0.014298325,123.6369882,,,
6/1/95,123.7434616,0.019650063,-0.006943876,1.20E+02,0.001048787,121.4628845,,,
7/1/95,124.5126397,0.00619667,0.007561863,1.25E+02,-0.003971967,123.2519566,,,
8/1/95,123.1286885,-0.011177178,0.002080871,1.25E+02,0.004814452,125.1120998,,,
9/1/95,123.3762442,0.002008526,0.001317879,1.23E+02,0.010118129,124.3745204,,,
10/1/95,128.0858972,0.037462528,-0.008977511,1.22E+02,0.006789905,124.2139572,,,
11/1/95,126.452346,-0.012835585,0.027403725,1.32E+02,0.022216922,130.9315715,,,
12/1/95,128.0814805,0.012801102,0.012365966,1.28E+02,0.001785353,126.6781081,,,
1/1/96,124.8330826,-0.025689122,-0.051535081,1.21E+02,-0.016539998,125.9630131,,,
2/1/96,126.5666966,0.013791909,-0.003795312,1.24E+02,-0.007026547,123.9559371,,,
