DATE,MGDP_logdiff_pred
1990-04-01,
1990-05-01,0.08412671834230423
1990-06-01,0.0031458709854632616
1990-07-01,0.06125412508845329
1990-08-01,-0.017457174137234688
1990-09-01,-0.01616036705672741
1990-10-01,0.004081624560058117
1990-11-01,0.0033071355428546667
1990-12-01,-0.04860018938779831
1991-01-01,-0.10928615927696228
1991-02-01,-0.010286420583724976
1991-03-01,0.3925427496433258
1991-04-01,0.05698179081082344
1991-05-01,0.2117210477590561
1991-06-01,-0.14602212607860565
1991-07-01,0.3728283941745758
1991-08-01,-0.24719735980033875
1991-09-01,0.005758748389780521
1991-10-01,0.781042754650116
1991-11-01,-1.9184677600860596
1991-12-01,0.9085866808891296
1992-01-01,-0.09254516661167145
1992-02-01,-0.1019398644566536
1992-03-01,0.05980958789587021
1992-04-01,-0.030609630048274994
1992-05-01,0.08049885183572769
1992-06-01,0.1675177961587906
1992-07-01,-0.06217559427022934
1992-08-01,0.03001655451953411
1992-09-01,-0.048845358192920685
1992-10-01,0.036939121782779694
1992-11-01,0.018766820430755615
1992-12-01,0.07987356930971146
1993-01-01,-0.05605180934071541
1993-02-01,-0.008143700659275055
1993-03-01,0.001862101606093347
1993-04-01,0.012832330539822578
1993-05-01,0.00696966890245676
1993-06-01,0.007224815897643566
1993-07-01,-0.06731857359409332
1993-08-01,0.09459522366523743
1993-09-01,-0.11422191560268402
1993-10-01,0.03582335263490677
1993-11-01,-0.009196720086038113
1993-12-01,-0.06320277601480484
1994-01-01,0.009703351184725761
1994-02-01,0.006029009353369474
1994-03-01,0.003952748142182827
1994-04-01,-0.005155652295798063
1994-05-01,-0.09444141387939453
1994-06-01,0.014096714556217194
1994-07-01,-0.16088084876537323
1994-08-01,0.002898693550378084
1994-09-01,0.20982934534549713
1994-10-01,0.01821841485798359
1994-11-01,0.005595304537564516
1994-12-01,0.11281643807888031
1995-01-01,0.3514387905597687
1995-02-01,-0.05087805911898613
1995-03-01,-0.032833393663167953
1995-04-01,-0.0011195983970537782
1995-05-01,0.24722708761692047
1995-06-01,-0.0914098396897316
1995-07-01,0.018469223752617836
1995-08-01,0.03076671063899994
1995-09-01,0.012696383520960808
1995-10-01,-0.0882863700389862
1995-11-01,-0.024694247171282768
1995-12-01,-0.037867214530706406
1996-01-01,-0.028490707278251648
1996-02-01,-0.024232279509305954
1996-03-01,-0.01668757013976574
1996-04-01,0.0581180714070797
1996-05-01,0.034825168550014496
1996-06-01,0.03924693539738655
1996-07-01,-0.003365711774677038
1996-08-01,-0.0522497333586216
1996-09-01,-0.08684258162975311
1996-10-01,-0.014322193339467049
1996-11-01,-0.038508713245391846
1996-12-01,-0.031600721180438995
1997-01-01,0.07833630591630936
1997-02-01,-0.04984784126281738
1997-03-01,-0.14175766706466675
1997-04-01,-0.0029540183022618294
1997-05-01,-0.1258457750082016
1997-06-01,0.03955237939953804
1997-07-01,-0.01762239821255207
1997-08-01,-0.016362331807613373
1997-09-01,-0.014079323969781399
1997-10-01,-0.01996457949280739
1997-11-01,-0.01635800115764141
1997-12-01,-0.004556570667773485
1998-01-01,-0.033780600875616074
1998-02-01,-0.0654776394367218
1998-03-01,-0.03955252841114998
1998-04-01,-0.029525989666581154
1998-05-01,-0.012851662002503872
1998-06-01,-0.006458362564444542
1998-07-01,-9.691222658148035e-06
1998-08-01,0.0002828548022080213
1998-09-01,0.0056359535083174706
1998-10-01,0.009080027230083942
1998-11-01,0.002536337124183774
1998-12-01,0.01591678336262703
1999-01-01,-0.022740870714187622
1999-02-01,-0.009672199375927448
1999-03-01,0.010181809775531292
1999-04-01,-0.1445353925228119
1999-05-01,0.06778791546821594
1999-06-01,-0.19759301841259003
1999-07-01,0.06781040877103806
1999-08-01,0.06737007200717926
1999-09-01,0.0343211330473423
1999-10-01,0.07027305662631989
1999-11-01,0.035835932940244675
1999-12-01,0.16304518282413483
2000-01-01,0.018991222605109215
2000-02-01,0.0053131780587136745
2000-03-01,0.008925567381083965
2000-04-01,-0.056847307831048965
2000-05-01,-0.04640103131532669
2000-06-01,-0.07302065938711166
2000-07-01,-0.09658272564411163
2000-08-01,-0.06690344214439392
2000-09-01,-0.019005488604307175
2000-10-01,0.11943970620632172
2000-11-01,0.051768574863672256
2000-12-01,0.01641567051410675
2001-01-01,0.02690015360713005
2001-02-01,0.03442736715078354
2001-03-01,0.02647022344172001
2001-04-01,0.04363387078046799
2001-05-01,0.024561788886785507
2001-06-01,-0.031056920066475868
2001-07-01,-0.05020086094737053
2001-08-01,-0.01938243955373764
2001-09-01,-0.09176459908485413
2001-10-01,0.037823885679244995
2001-11-01,0.053981389850378036
2001-12-01,0.017720956355333328
2002-01-01,-0.21257808804512024
2002-02-01,-0.3704599142074585
2002-03-01,0.474759578704834
2002-04-01,-0.03528739884495735
2002-05-01,-0.019302286207675934
2002-06-01,-0.0889788493514061
2002-07-01,0.0022951129358261824
2002-08-01,-0.038174308836460114
2002-09-01,-0.00456669507548213
2002-10-01,-0.046639736741781235
2002-11-01,-0.06040572375059128
2002-12-01,0.0018584696808829904
2003-01-01,0.04478755593299866
2003-02-01,0.01904681697487831
2003-03-01,-0.05257223919034004
2003-04-01,-0.013292389921844006
2003-05-01,-0.021623102948069572
2003-06-01,-0.011628362350165844
2003-07-01,-0.0380336232483387
2003-08-01,-0.0023963414132595062
2003-09-01,-0.035244204103946686
2003-10-01,-0.0734570175409317
2003-11-01,-0.11541219055652618
2003-12-01,-0.11821624636650085
2004-01-01,-0.03465330973267555
2004-02-01,-0.01808120124042034
2004-03-01,-0.005486869718879461
